Item Number 1               Name: Brother's medallion                                 Age:  500 years,   46 days 	Tags: Dangerous,Important,Magic,Remembered,Token,Trinket
Item Number 221             Name: Packet of powdered brimstone                        Age:  260 years,  187 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 222             Name: Waxed paper pouch: glow spores                      Age:  490 years,  261 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 223             Name: Twisted vial of volatile salt                       Age:   48 years,   81 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 224             Name: Spoon stained with purple tincture                  Age:   29 years,  338 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 225             Name: Metal canister of sediment extract                  Age:    3 years,  254 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 226             Name: Stoppered vial with brown scum                      Age:   13 years,   77 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 227             Name: Linen-wrapped bundle of dried herbs                 Age:  499 years,   69 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 228             Name: Crystal phial: lunar dust                           Age:    0 years,  119 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Recent,Remembered,Safe
Item Number 229             Name: Folded leaf packet: duskmint shavings               Age:    0 years,   56 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Recent,Remembered,Safe
Item Number 230             Name: Alum-crusted stirring rod                           Age:  253 years,   62 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 231             Name: Black-glass vial (opaque)                           Age:  311 years,   35 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 232             Name: Thin glass pipette (intact)                         Age:    0 years,   40 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Recent,Remembered,Safe
Item Number 233             Name: Sachet marked “arcane ash”                          Age:  134 years,  213 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 234             Name: Vial: silver-tinged water                           Age:   25 years,  249 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 235             Name: Herbal extract in corked tube                       Age:    0 years,  252 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Important,RawMaterial,Remembered,Safe
Item Number 236             Name: Bottle marked: aether base                          Age:  421 years,  243 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 237             Name: Wax-lined herb packet (cracked)                     Age:    0 years,  180 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Recent,Remembered,Safe
Item Number 238             Name: Flask of powdered coal dust                         Age:  102 years,  189 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 239             Name: Stoppered green flask (viscous)                     Age:   18 years,  152 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 240             Name: Jar containing dried moss clumps                    Age:   66 years,  215 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 241             Name: Copper stirring spoon                               Age:   37 years,  318 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 242             Name: Soft clay container (char-stained)                  Age:    0 years,   69 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Recent,Remembered,Safe
Item Number 243             Name: Blackroot paste in sealed pot                       Age:   23 years,  114 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 244             Name: Clear vial: glowing sediment                        Age:  493 years,  339 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 245             Name: Bundle of flattened herb stalks                     Age:  429 years,  286 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 246             Name: Aluminum funnel (small)                             Age:    0 years,    2 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Recent,Remembered,Safe
Item Number 247             Name: Stoppered jar: silty residue                        Age:  399 years,  241 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 248             Name: Crystal bottle labeled “Nightglass”                 Age:  251 years,  249 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 249             Name: Sealed tin of aether clay                           Age:  212 years,   32 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 250             Name: Metal tongs (singe marks)                           Age:    0 years,  176 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 251             Name: Dry pouch of forest soot                            Age:  228 years,  154 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 252             Name: Folded leaf: pressed arcane herbs                   Age:    1 years,  115 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 253             Name: Corked vial: granular substance                     Age:  298 years,  224 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 254             Name: Small flask marked “unstable”                       Age:  239 years,  338 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 255             Name: Iron-bound jar (warm to touch)                      Age:    3 years,  145 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 256             Name: Pouch of crystallized sap                           Age:  495 years,  174 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 257             Name: Steel stirring wand                                 Age:   51 years,  206 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 258             Name: Vial of milky fluid (unlabeled)                     Age:   16 years,   65 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 259             Name: Cloth-wrapped extract bottle                        Age:    0 years,    4 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Recent,Remembered,Safe
Item Number 260             Name: Jar of soft resin (sticky)                          Age:    2 years,  343 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 261             Name: Folded parchment: reagent notes                     Age:  363 years,   98 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 262             Name: Blue wax packet: scented extract                    Age:  403 years,  199 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 263             Name: Glass bottle: inert powder                          Age:    0 years,   12 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Recent,Remembered,Safe
Item Number 264             Name: Pouch of powdered chalk mix                         Age:    5 years,  168 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 265             Name: Charcoal-streaked stirring rod                      Age:    0 years,  142 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 266             Name: Thin metal bowl (stained)                           Age:  266 years,  330 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 267             Name: Pressed flower bundle (dried)                       Age:   64 years,  287 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 268             Name: Vial of unstable ether salt                         Age:   30 years,  299 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 269             Name: Wax-stoppered flask: ash slurry                     Age:  488 years,   52 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 270             Name: Metal spoon (distilled residue)                     Age:  456 years,   67 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 271             Name: Glass tube of fine green powder                     Age:    0 years,  120 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 272             Name: Labeled cork packet: bloodroot                      Age:    0 years,   87 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Recent,Remembered,Safe
Item Number 273             Name: Small phial of binding gel                          Age:    0 years,  122 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Important,RawMaterial,Remembered,Safe
Item Number 274             Name: Dusty bottle: unknown extract                       Age:   62 years,  189 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 275             Name: Sachet labeled “burning sand”                       Age:  305 years,   64 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 276             Name: Round vial of beige silt                            Age:    2 years,    1 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 277             Name: Soft pouch of dried root chips                      Age:    4 years,   22 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 278             Name: Alum-lined stone bowl                               Age:   45 years,  325 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 279             Name: Slender phial: bubbling green fluid                 Age:  110 years,  190 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 280             Name: Iron flask (corroded exterior)                      Age:   40 years,  141 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 281             Name: Corked jar: clear gel (jiggling)                    Age:    0 years,   44 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Recent,Remembered,Safe
Item Number 282             Name: Powdered compound marked unstable                   Age:   39 years,    3 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 283             Name: Vial: rose-colored syrup                            Age:  297 years,  237 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 284             Name: Slotted ladle with char residue                     Age:   95 years,  116 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 285             Name: Pressed root disc in wax paper                      Age:   60 years,  171 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 286             Name: Dropper bottle: blue ink stain                      Age:  383 years,  308 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 287             Name: Char-stained crucible (chipped)                     Age:   39 years,  240 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 288             Name: Blackened bowl with dried resin                     Age:    2 years,  205 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 289             Name: Tightly-sealed vial: volatile                       Age:    0 years,  297 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 290             Name: Wrapped bundle: herb-scented rags                   Age:    0 years,  102 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Recent,Remembered,Safe
Item Number 291             Name: Glass ampoule (sealed tip)                          Age:    4 years,   17 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 292             Name: Extract sample in amber vial                        Age:    0 years,   62 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Important,RawMaterial,Remembered,Safe
Item Number 293             Name: Cracked stirring rod                                Age:  359 years,  115 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 294             Name: Tin of dried nettle leaves                          Age:    0 years,  111 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 295             Name: Unmarked vial (viscous yellow)                      Age:   41 years,  257 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 296             Name: Soft-wax tub of herbal paste                        Age:   43 years,  195 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 297             Name: Dusty labeled sachet: sulfur blend                  Age:  335 years,   79 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,Dangerous,RawMaterial
Item Number 298             Name: Stoppered jar: swirling particles                   Age:    0 years,   41 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 299             Name: Wide flask: dried sediment layer                    Age:   32 years,  322 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 300             Name: Brass-trimmed bottle (alum crystal)                 Age:    4 years,  222 days 	Tags: Alchemical,AlchemySupply,AlchemySupplySet,RawMaterial,Safe
Item Number 301             Name: Copper button with four holes                       Age:    9 years,  362 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 302             Name: Bent iron nail                                      Age:  367 years,  215 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 303             Name: Tiny glass marble (clear)                           Age:    0 years,   21 days 	Tags: NonMagic,PocketJunk,Recent,Remembered,Safe,Trinket
Item Number 304             Name: Cracked ceramic token                               Age:   62 years,  281 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 305             Name: Loose safety pin (open)                             Age:    3 years,   47 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 306             Name: Folded felt scrap (frayed)                          Age:  306 years,  218 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 307             Name: Tiny brass hook                                     Age:  518 years,  253 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 308             Name: Torn handbill corner                                Age:    2 years,   12 days 	Tags: NonMagic,PocketJunk,Recent,Remembered,Safe,Trinket
Item Number 309             Name: Canvas patch with glue residue                      Age:    3 years,  308 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 310             Name: Button with mismatched thread                       Age:    0 years,   31 days 	Tags: NonMagic,PocketJunk,Recent,Remembered,Safe,Trinket
Item Number 311             Name: Key blank (unmarked)                                Age:    0 years,   59 days 	Tags: Important,NonMagic,PocketJunk,Remembered,Safe,Trinket
Item Number 312             Name: Pressed paper chip                                  Age:  490 years,   70 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 313             Name: Single shoelace tip (metal)                         Age:   53 years,  127 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 314             Name: Paperclip (twisted)                                 Age:   41 years,  343 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 315             Name: Stained map fragment                                Age:   24 years,  273 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 316             Name: Tiny cork ring                                      Age:    0 years,   46 days 	Tags: NonMagic,PocketJunk,Recent,Remembered,Safe,Trinket
Item Number 317             Name: Old wool button                                     Age:   12 years,  132 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 318             Name: Safety pin with bent clasp                          Age:  457 years,  177 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 319             Name: Small paper tag (blank)                             Age:    3 years,  239 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 320             Name: Broken zipper tooth                                 Age:  413 years,  175 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 321             Name: Piece of graphite pencil lead                       Age:    0 years,   63 days 	Tags: NonMagic,PocketJunk,Recent,Remembered,Safe,Trinket
Item Number 322             Name: Crimped bottlecap                                   Age:  324 years,  167 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 323             Name: Snapped linen thread piece                          Age:    0 years,    6 days 	Tags: NonMagic,PocketJunk,Recent,Remembered,Safe,Trinket
Item Number 324             Name: Polished button (faded symbol)                      Age:    4 years,  343 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 325             Name: Corner of a playing card                            Age:  246 years,  212 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 326             Name: Bit of cotton fluff                                 Age:   82 years,   53 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 327             Name: Tiny copper bell (no clapper)                       Age:    0 years,  183 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 328             Name: Loop of braided thread                              Age:    2 years,  191 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 329             Name: Loose marble (chipped)                              Age:    0 years,  132 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 330             Name: Ink-stained felt strip                              Age:    0 years,   83 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 331             Name: Old wax seal remnant                                Age:  392 years,  211 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 332             Name: Shoe eyelet (detached)                              Age:    6 years,   39 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 333             Name: Ring box hinge                                      Age:  493 years,  138 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 334             Name: Cracked ivory button                                Age:  318 years,  104 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 335             Name: Scrap of woven thread                               Age:    2 years,  119 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 336             Name: Tiny brass grommet                                  Age:    0 years,   28 days 	Tags: Important,NonMagic,PocketJunk,Remembered,Safe,Trinket
Item Number 337             Name: Bent copper washer                                  Age:  486 years,  355 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 338             Name: Broken hook and eye set                             Age:  139 years,  337 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 339             Name: Scrap of felt ribbon                                Age:    2 years,   82 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 340             Name: Blank coin-shaped disk                              Age:    0 years,  106 days 	Tags: NonMagic,PocketJunk,Recent,Remembered,Safe,Trinket
Item Number 341             Name: Loose thread ball (grey)                            Age:    1 years,   52 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 342             Name: Faded handbill stub                                 Age:   53 years,   15 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 343             Name: Cork plug with worn edge                            Age:   25 years,  122 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 344             Name: Shirt tag fragment (illegible)                      Age:  325 years,  266 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 345             Name: Miniature key with broken teeth                     Age:   11 years,   63 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 346             Name: Hollow button shell                                 Age:    0 years,   11 days 	Tags: NonMagic,PocketJunk,Recent,Remembered,Safe,Trinket
Item Number 347             Name: Brass ring loop                                     Age:    2 years,   42 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 348             Name: Scrap of canvas hem                                 Age:    0 years,  180 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 349             Name: Loose pin back                                      Age:  482 years,  357 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 350             Name: Sliver of pressed paperboard                        Age:    3 years,  332 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 351             Name: Cut buttonhole sample                               Age:  129 years,   16 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 352             Name: Threaded cap from ink bottle                        Age:  102 years,   50 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 353             Name: Sticker backing fragment                            Age:   49 years,  289 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 354             Name: Hook from earring clasp                             Age:   35 years,   37 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 355             Name: Bent split ring                                     Age:    5 years,  340 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 356             Name: Torn scrap of wrapping paper                        Age:    0 years,  106 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 357             Name: Cracked ceramic shard (flat)                        Age:    4 years,   76 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 358             Name: Loop of iron wire (tiny)                            Age:    0 years,   55 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 359             Name: Stamped metal disk (no markings)                    Age:  355 years,  132 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 360             Name: Pinhole punch card chip                             Age:   41 years,  172 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 361             Name: Piece of pocket lint                                Age:    0 years,    1 days 	Tags: NonMagic,PocketJunk,Recent,Remembered,Safe,Trinket
Item Number 362             Name: Button with oxidized metal                          Age:  212 years,  132 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 363             Name: Tassel fringe segment                               Age:   81 years,  266 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 364             Name: Loose string knot (twine)                           Age:   50 years,   66 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 365             Name: Half of a shirt tag                                 Age:  282 years,  154 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 366             Name: Twisted ring from journal clasp                     Age:    5 years,  329 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 367             Name: Woolen fiber tuft                                   Age:   40 years,  162 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 368             Name: Scrap of sticker backing                            Age:    0 years,    7 days 	Tags: NonMagic,PocketJunk,Recent,Remembered,Safe,Trinket
Item Number 369             Name: Metal grommet fragment                              Age:   61 years,  269 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 370             Name: Plastic rivet base                                  Age:    3 years,  266 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 371             Name: Tiny felt flower                                    Age:   33 years,  273 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 372             Name: Twist of copper wire                                Age:  181 years,   23 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 373             Name: Shiny brass paperclip                               Age:   37 years,  339 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 374             Name: Hook from clasp set                                 Age:    0 years,   42 days 	Tags: NonMagic,PocketJunk,Recent,Remembered,Safe,Trinket
Item Number 375             Name: Worn parchment shred                                Age:  494 years,   12 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 376             Name: Frayed edge of envelope                             Age:   47 years,  168 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 377             Name: Unthreaded needle eye                               Age:    0 years,    4 days 	Tags: NonMagic,PocketJunk,Recent,Remembered,Safe,Trinket
Item Number 378             Name: Piece of cracked buckle                             Age:  406 years,  189 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 379             Name: String with knotted beads                           Age:    4 years,   63 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 380             Name: Cork disc (cut unevenly)                            Age:    0 years,  115 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 381             Name: Split end of paper roll                             Age:   18 years,  332 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 382             Name: Detached cloth label                                Age:   73 years,  236 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 383             Name: Loop of thread (red)                                Age:  105 years,   93 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 384             Name: Metal clasp from document tie                       Age:   25 years,  167 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 385             Name: Seam scrap (glued edge)                             Age:  288 years,  212 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 386             Name: Padded strip of linen                               Age:   36 years,    5 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 387             Name: Segment of pressed foil                             Age:    2 years,  306 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 388             Name: Bit of wax thread                                   Age:  483 years,    6 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 389             Name: Partial string of mini-beads                        Age:   21 years,  225 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 390             Name: Corner of receipt slip                              Age:   10 years,  112 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 391             Name: Twisted earring post                                Age:  507 years,  276 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 392             Name: Splotch of hardened glue                            Age:    0 years,   27 days 	Tags: Important,NonMagic,PocketJunk,Remembered,Safe,Trinket
Item Number 393             Name: Ink blot sample (scrap)                             Age:    0 years,    8 days 	Tags: NonMagic,PocketJunk,Recent,Remembered,Safe,Trinket
Item Number 394             Name: Linen corner swatch                                 Age:    4 years,  123 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 395             Name: Tiny hook (brass tip)                               Age:   86 years,  129 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 396             Name: Metal eyelet punch                                  Age:    0 years,  149 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 397             Name: Cotton stitch demo scrap                            Age:    9 years,   36 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 398             Name: Piece of wire tag loop                              Age:   25 years,  218 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 399             Name: Fringe from doll clothing                           Age:    0 years,  281 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 400             Name: Cardboard corner sample                             Age:  381 years,   55 days 	Tags: NonMagic,PocketJunk,Safe,Trinket
Item Number 401             Name: Soapstone skull that hums when cold                 Age:  331 years,   15 days 	Tags: NonMagic,Safe,Sentient,Trinket
Item Number 402             Name: Pocketwatch that ticks when insulted                Age:    0 years,  203 days 	Tags: Device,NonMagic,Safe,Sentient
Item Number 403             Name: Snarky brass compass that only points west          Age:    0 years,    7 days 	Tags: Device,NonMagic,Recent,Remembered,Safe,Sentient
Item Number 404             Name: Folded letter that sighs softly                     Age:  496 years,  162 days 	Tags: NonMagic,Safe,Sentient,Trinket
Item Number 405             Name: Tiny bell that rings when ignored                   Age:   24 years,   41 days 	Tags: NonMagic,Safe,Sentient,Trinket
Item Number 406             Name: Worry stone that whispers regrets                   Age:  482 years,   94 days 	Tags: NonMagic,Safe,Sentient,Trinket
Item Number 407             Name: Needle that points at nearest tavern                Age:    0 years,  248 days 	Tags: NonMagic,Safe,Sentient,Tool
Item Number 408             Name: Coin that rattles if you lie                        Age:    0 years,  118 days 	Tags: Currency,NonMagic,Safe,Sentient,Trinket
Item Number 409             Name: Slate tile that corrects grammar                    Age:   26 years,  242 days 	Tags: NonMagic,Safe,Sentient,Trinket
Item Number 410             Name: Cork that refuses to be removed                     Age:  482 years,  310 days 	Tags: NonMagic,Safe,Sentient,Trinket
Item Number 411             Name: Eyeglass lens that winks occasionally               Age:    0 years,   26 days 	Tags: Clothing,NonMagic,Recent,Remembered,Safe,Sentient
Item Number 412             Name: Copper badge that invents titles                    Age:    4 years,   80 days 	Tags: NonMagic,Safe,Sentient,Trinket
Item Number 413             Name: Button that giggles when pressed                    Age:    0 years,    3 days 	Tags: NonMagic,Recent,Remembered,Safe,Sentient,Trinket
Item Number 414             Name: Miniature harp that plays only off-key              Age:   17 years,  278 days 	Tags: Device,NonMagic,Safe,Sentient
Item Number 415             Name: Sealed vial that insists it’s empty                 Age:  243 years,  320 days 	Tags: NonMagic,Potion,Safe,Sentient
Item Number 416             Name: Iron ring that sulks when wet                       Age:    0 years,    7 days 	Tags: Clothing,NonMagic,Recent,Remembered,Safe,Sentient
Item Number 417             Name: Silver whistle that only dogs ignore                Age:   41 years,   83 days 	Tags: Device,NonMagic,Safe,Sentient
Item Number 418             Name: Lump of wax that disapproves silently               Age:  135 years,   48 days 	Tags: NonMagic,RawMaterial,Safe,Sentient
Item Number 419             Name: Journal page that remembers nothing                 Age:    0 years,   90 days 	Tags: NonMagic,Safe,Sentient,Trinket
